CustomerID,CompanyName,ContactName,ContactTitle,Address,City,Region,PostalCode,Countries_code,Phone,Fax,SORTORDER
DRACD,Drachenblut Delikatessen,Sven Ottlieb,Order Administrator,Walserweg 21,Aachen,NULL,52066,DE,0241-039123,0241-039122,15
DUMON,Du monde entier,Janine Labrune,Owner,67, rue des Cinquante Otages Nantes,NULL,44000,FR,40.67.88.88,40.67.89.89,16
EASTC,Eastern Connection,Ann Devon,Sales Agent,35 King St.,London,NULL,EC2 4LQ,GB,(020) 7555-0297,(020) 7555-9129,17
ERNSH,Ernst Handel,Roland Mendel,Sales Manager,Kirchgasse 6,Graz,NULL,8010,AT,7675-3425,7675-3426,18
FAMIA,Familia Arquibaldo,Aria Cruz,Marketing Assistant,Rua Orós, 92,"São Paulo,SP",05442-030,BR,(11) 555-9857,NULL,19
FISSA,Fissa Fabrikationen AG,Diego Roel,Marketing Manager,Kappelergasse 16,Bern,NULL,3011,CH,061-995-0275,061-995-0275,20
FOLIG,Folies gourmandes,Martine Rancé,Assistant Sales Agent,184, "chaussée de Tournai,Lille",59000,FR,20.16.10.16,20.16.10.17,21
FOLKO,Folk och fä,Maria Larsson,Owner,Åkergatan 24,Bräcke,NULL,S-844 67,SE,0695-346721,NULL,22
FRANK,Frankenversand,Peter Franken,Marketing Manager,Berliner Platz 43,München,NULL,80805,DE,089-877510,089-877451,23
FRANR,FR restauration,Carine Schmitt,Marketing Manager,"54,rue Royale",Nantes,NULL,44000,FR,40.32.21.21,40.32.21.22,24
FRANS,Franchi S.p.A.,Paolo Accorti,Sales Representative,Via Monte Bianco 34,Torino,NULL,10100,IT,011-4988260,011-4988261,26
FURIB,Furia Bacalhau e Frutos do Mar,Lino Rodriguez,Sales Manager,"Travessa das Flores, 41",Lisboa,NULL,1675-08,PT,(1) 354-2534,(1) 351-4411,27
GALED,Galería del gastronómo,Eduardo Saavedra,Marketing Manager,"Rambla de Cataluña, 23",Barcelona,NULL,08022,ES,(93) 203 4560,(93) 203 4561,28
GODOS,Godos Cocina Típica,José Pedro Rodríguez,Sales Manager,"C/ Romero, 33",Sevilla,NULL,41101,ES,(95) 555 82 82,NULL,29
GOURD,Gourmandise et cie,André Chevance,Sales Representative,"32, avenue de l'Armée d'Italie",Paris,NULL,75013,FR,01.46.72.20.10,01.46.72.20.11,30
GREAL,Great Lakes Food Market,Howard Snyder,Marketing Manager,2732 Baker Blvd.,Eugene,OR,97401,US,(503) 555-7555,NULL,31
GROSR,Groselier,Mathilde Bouvier,Marketing Manager,"58, rue du Festin",Montréal,QC,H2S 2G6,CA,(514) 555-6629,(514) 555-7545,32
HANAR,Hanari Carnes,Mario Pontes,Marketing Representative,"Rua do Paço, 67",Rio de Janeiro,RJ,05435-970,BR,(21) 555-0091,(21) 555-8765,33
HILAA,HILARION-Abastos,Carlos Hernández,Sales Representative,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,Táchira,5020,VE,(5) 555-1340,(5) 555-1903,34
HUNGC,Hungry Coyote Import Store,Yoshi Latimer,Sales Representative,City Center Plaza 516 - 5th Ave.,Elgin,OR,97827,US,(503) 555-6874,(503) 555-2376,35
HUNGO,Hungry Owl All-Night Grocers,Patricia McKenna,Sales Associate,8 Johnstown Road,Cork,Co. Cork,NULL,IE,2967 5102,2967 3333,36
ISLAT,Island Trading,Helen Bennett,Marketing Manager,Garden House Crowther Way,Cowes,Isle of Wight,PO31 7PJ,GB,(098) 512-8000,NULL,37
KOENE,Königlich Essen,Philip Cramer,Sales Associate,Maubelstr. 90,Brandenburg,NULL,14776,DE,0555-09876,NULL,38
LAUGB,Laughing Bacchus Wine Cellars,Yoshi Tannamuri,Sales Manager,1900 Oak St.,Vancouver,BC,T3Z 1Y9,CA,(604) 555-3392,(604) 555-7293,39
LAZYK,Lazy K Kountry Store,John Steel,Sales Representative,12 Orchestra Terrace,Walla Walla,WA,99362,US,(509) 555-7969,(509) 555-6221,40
LEHMS,Lehmanns Marktstand,Renate Messner,Sales Representative,Magazinplatz 7,Frankfurt a.M.,NULL,60528,DE,069-0245984,069-0245874,41
LETSS,Let's Stop N Shop,Jaime Yorres,Owner,87 Polk St.,San Francisco,CA,94117,US,(415) 555-5938,NULL,42
LILAS,LILA-Supermercado,Carlos González,Owner,Carrera 52 con Calle 65,Bogotá,NULL,NULL,CO,(1) 987-5992,NULL,43
LINOD,LINO-Delicateses,Felipe Izquierdo,Owner,Yuta 3051,Buenos Aires,NULL,1654,AR,(1) 338-1883,NULL,44
LONEP,Lonesome Pine Restaurant,Fran Wilson,Sales Manager,89 Chiaroscuro Rd.,Portland,OR,97219,US,(503) 555-9597,NULL,45
MAGAA,Magazzini Alimentari Riuniti,Giovanni Rovelli,Marketing Manager,Via Ludovico il Moro 22,Bergamo,NULL,24100,IT,035-640230,035-649586,46
MAISD,Maison Dewey,Catherine Dewey,Sales Agent,Rue de l'Abbaye 24,Reims,NULL,51100,FR,26.47.15.10,NULL,47
MEREP,Mère Paillarde,Jean-Paul Monnier,Sales Manager,43 rue St. Laurent,Montréal,QC,H2Y 1V3,CA,(514) 555-8054,(514) 555-8055,48
MORGK,Morgenstern Gesundkost,Alexander Feuer,Marketing Assistant,Heerstr. 22,Leipzig,NULL,04179,DE,0342-023176,NULL,49
NORTH,North/South,Simon Crowther,Sales Associate,South House 300 Queensbridge,London,NULL,SW7 1BY,GB,(020) 7555-7733,(020) 7555-2530,50
NORTS,Northwind Traders,Simon Crowther,Sales Representative,7 City Center Plaza,Elgin,OR,97820,US,(503) 555-1874,(503) 555-1945,51
OCEAN,Océano Atlántico Ltda.,Yvonne Moncada,Sales Agent,Ing. Gustavo Moncada 8585 Piso 20-A,Buenos Aires,NULL,1010,AR,(1) 135-5555,(1) 135-4892,52
OLDWO,Old World Delicatessen,Rene Phillips,Sales Representative,2743 Bering St.,Anchorage,AK,99508,US,(907) 555-7584,(907) 555-2880,53
OTTIK,Ottilies Käseladen,Henriette Pfalzheim,Owner,Mehrheimerstr. 369,Köln,NULL,50739,DE,0221-0444098,0221-0444688,54
PERIC,Pericles Comidas clásicas,Guillermo Fernández,Sales Representative,Calle Dr. Jorge Aguilar Mora 24,México D.F.,NULL,05021,MX,(5) 552-3782,(5) 545-3752,55
PICCO,Piccolo und mehr,Georg Franz,Sales Manager,Geislweg 14,Salzburg,NULL,5020,AT,6562-9772,6562-9773,56
PRINI,Princesa Isabel Vda. de PT,Isabel de PT,Sales Representative,Estrada da saúde n. 58,Lisboa,NULL,1756-90,PT,(1) 354-2534,NULL,57
QUEDE,Que Delícia,Bernardo Batista,Assistant Sales Agent,Rua da Bandeira 35,Rio de Janeiro,RJ,04532-000,BR,(21) 555-4252,(21) 555-9129,58
QUEEN,Queen Cozinha,Lucía Carvalho,Order Administrator,"Alameda dos Canàrios, 891",São Paulo,SP,05487-020,BR,(11) 555-1189,NULL,59
QUICK,QUICK-Stop,Horst Kloss,Accounting Manager,Taucherstraße 10,Cunewalde,NULL,01307,DE,0373-031024,NULL,60
RANCH,Rancho grande,Sergio Gutiérrez,Sales Representative,Av. del Libertador 900,Buenos Aires,NULL,1010,AR,(1) 123-5555,(1) 123-5555,61
RATTC,Rattlesnake Canyon Grocery,Paula Wilson,Assistant Sales Representative,2817 Milton Dr.,Albuquerque,NM,87110,US,(505) 555-5939,(505) 555-3620,62
REGGC,Reggiani Caseifici,Maurizio Moroni,Sales Associate,Strada Provinciale 124,Reggio Emilia,NULL,42100,IT,0522-5886,0522-5886,63
RICAR,Ricardo Adocicados,Janete Limeira,Assistant Sales Agent,"Av. Copacabana, 267",Rio de Janeiro,RJ,02202-011,BR,(21) 555-3412,NULL,64
RICSU,Richter Supermarkt,Michael Holz,Accounting Manager,Goldschmidstr. 22,Genève,NULL,1205,CH,031-9876543,031-9876543,65
ROMEY,Romero y tomillo,Andrés Picasso,Sales Representative,Bolivar #969,Trujillo,NULL,21502,PE,(044) 203236,NULL,66
